FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180421;0000;31;;;
180422;0000;27;;;
180423;0000;25;;;
180424;0000;38;;;
180425;0000;86;;;
180426;0000;39;;;
180427;0000;45;;;
180428;0000;43;;;
180429;0000;49;;;
180430;0000;122;;;
180501;0000;62;;;
180502;0000;77;;;
180503;0000;27;;;
180504;0000;76;;;
180505;0000;139;;;
180506;0000;217;;;
180507;0000;151;;;
180508;0000;26;;;
180509;0000;26;;;
180510;0000;;;;
180511;0000;52;;;
180512;0000;109;;;
180513;0000;95;;;
180514;0000;61;;;
180515;0000;105;;;
180516;0000;69;;;
180517;0000;97;;;
180518;0000;120;;;
180519;0000;56;;;
180520;0000;36;;;
180521;0000;19;;;
180522;0000;32;;;
180523;0000;36;;;
180524;0000;38;;;
180525;0000;78;;;
180526;0000;27;;;
180527;0000;110;;;
180528;0000;48;;;
180529;0000;57;;;
180530;0000;47;;;
180531;0000;36;;;
180601;0000;211;;;
180602;0000;405;;;
180603;0000;321;;;
180604;0000;169;;;
180605;0000;127;;;
180606;0000;93;;;
180607;0000;137;;;
180608;0000;67;;;
180609;0000;172;;;
180610;0000;306;;;
180611;0000;210;;;
180612;0000;350;;;
180613;0000;261;;;
180614;0000;239;;;
180615;0000;90;;;
180616;0000;76;;;
180617;0000;107;;;
180618;0000;85;;;
180619;0000;38;;;
180620;0000;52;;;
180621;0000;39;;;
180622;0000;68;;;
180623;0000;84;;;
180624;0000;36;;;
180625;0000;63;;;
180626;0000;57;;;
180627;0000;66;;;
180628;0000;59;;;
180629;0000;53;;;
180630;0000;100;;;
180701;0000;91;;;
180702;0000;207;;;
180703;0000;370;;;
180704;0000;224;;;
180705;0000;126;;;
180706;0000;205;;;
180707;0000;286;;;
180708;0000;264;;;
180709;0000;373;;;
180710;0000;119;;;
180711;0000;83;;;
180712;0000;60;;;
180713;0000;78;;;
180714;0000;78;;;
180715;0000;96;;;
180716;0000;58;;;
180717;0000;110;;;
180718;0000;45;;;
180719;0000;53;;;
180720;0000;89;;;
180721;0000;65;;;
180722;0000;53;;;
180723;0000;37;;;
180724;0000;94;;;
180725;0000;111;;;
180726;0000;370;;;
180727;0000;116;;;
180728;0000;37;;;
180729;0000;29;;;
180730;0000;41;;;
180731;0000;23;;;
180801;0000;84;;;
180802;0000;206;;;
180803;0000;34;;;
180804;0000;51;;;
180805;0000;38;;;
180806;0000;90;;;
180807;0000;76;;;
180808;0000;147;;;
180809;0000;132;;;
180810;0000;133;;;
180811;0000;217;;;
180812;0000;177;;;
180813;0000;83;;;
180814;0000;29;;;
180815;0000;26;;;
180816;0000;31;;;
180817;0000;48;;;
180818;0000;51;;;
180819;0000;43;;;
180820;0000;107;;;
180821;0000;93;;;
180822;0000;99;;;
180823;0000;32;;;
180824;0000;48;;;
180825;0000;46;;;
180826;0000;26;;;
180827;0000;25;;;
180828;0000;55;;;
180829;0000;60;;;
180830;0000;134;;;
180831;0000;218;;;
180901;0000;75;;;
180902;0000;30;;;
180903;0000;70;;;
180904;0000;;;;
180905;0000;91;;;
180906;0000;26;;;
180907;0000;27;;;
180908;0000;30;;;
180909;0000;60;;;
180910;0000;55;;;
180911;0000;24;;;
180912;0000;18;;;
180913;0000;15;;;
180914;0000;19;;;
180915;0000;26;;;
180916;0000;37;;;
180917;0000;27;;;
180918;0000;31;;;
180919;0000;33;;;
180920;0000;43;;;
180921;0000;30;;;
180922;0000;35;;;
180923;0000;26;;;
180924;0000;55;;;
180925;0000;55;;;
180926;0000;35;;;
180927;0000;57;;;
180928;0000;35;;;
180929;0000;43;;;
180930;0000;33;;;
181001;0000;25;;;
181002;0000;21;;;
181003;0000;37;;;
181004;0000;23;;;
181005;0000;60;;;
181006;0000;25;;;
181007;0000;29;;;
181008;0000;27;;;
181009;0000;28;;;
181010;0000;26;;;
181011;0000;23;;;
181012;0000;17;;;
181013;0000;11;;;
181014;0000;13;;;
181015;0000;20;;;
181016;0000;86;;;
181017;0000;53;;;
181018;0000;19;;;
181019;0000;21;;;
181020;0000;40;;;
181021;0000;22;;;
181022;0000;40;;;
181023;0000;83;;;
181024;0000;47;;;
181025;0000;21;;;
181026;0000;18;;;
181027;0000;17;;;
181028;0000;14;;;
181029;0000;9;;;
181030;0000;25;;;
181031;0000;42;;;
181101;0000;28;;;
181102;0000;20;;;
181103;0000;15;;;
181104;0000;15;;;
181105;0000;31;;;
181106;0000;30;;;
181107;0000;22;;;
181108;0000;18;;;
181109;0000;32;;;
181110;0000;29;;;
181111;0000;16;;;
181112;0000;10;;;
181113;0000;9;;;
181114;0000;12;;;
181115;0000;12;;;
181116;0000;11;;;
181117;0000;9;;;
181118;0000;;;;
181119;0000;;;;
181120;0000;22;;;
181121;0000;32;;;
181122;0000;13;;;
181123;0000;10;;;
181124;0000;11;;;
181125;0000;17;;;
181126;0000;13;;;
181127;0000;9;;;
181128;0000;7;;;
181129;0000;8;;;
181130;0000;11;;;
181201;0000;13;;;
181202;0000;8;;;
181203;0000;9;;;
181204;0000;7;;;
181205;0000;14;;;
181206;0000;7;;;
181207;0000;6;;;
181208;0000;5;;;
181209;0000;4;;;
181210;0000;7;;;
181211;0000;7;;;
181212;0000;7;;;
181213;0000;10;;;
181214;0000;9;;;
181215;0000;6;;;
181216;0000;8;;;
181217;0000;11;;;
181218;0000;7;;;
181219;0000;6;;;
181220;0000;5;;;
181221;0000;6;;;
181222;0000;8;;;
181223;0000;7;;;
181224;0000;9;;;
181225;0000;9;;;
181226;0000;7;;;
181227;0000;5;;;
181228;0000;6;;;
181229;0000;10;;;
181230;0000;6;;;
181231;0000;13;;;
190101;0000;16;;;
190102;0000;11;;;
190103;0000;5;;;
190104;0000;6;;;
190105;0000;7;;;
190106;0000;8;;;
190107;0000;16;;;
190108;0000;14;;;
190109;0000;15;;;
190110;0000;13;;;
190111;0000;12;;;
190112;0000;15;;;
190113;0000;12;;;
190114;0000;5;;;
190115;0000;11;;;
190116;0000;15;;;
190117;0000;8;;;
190118;0000;5;;;
190119;0000;5;;;
190120;0000;5;;;
190121;0000;13;;;
190122;0000;;;5;
190123;0000;;;2;
190124;0000;;;3;
190125;0000;;;10;
190126;0000;12;;;
190127;0000;6;;;
190128;0000;3;;;
190129;0000;9;;;
190130;0000;9;;;
190131;0000;8;;;
190201;0000;9;;;
190202;0000;15;;;
190203;0000;15;;;
190204;0000;15;;;
190205;0000;11;;;
190206;0000;13;;;
190207;0000;12;;;
190208;0000;11;;;
190209;0000;9;;;
190210;0000;14;;;
190211;0000;14;;;
190212;0000;14;;;
190213;0000;11;;;
190214;0000;8;;;
190215;0000;8;;;
190216;0000;11;;;
190217;0000;9;;;
190218;0000;10;;;
190219;0000;11;;;
190220;0000;15;;;
190221;0000;19;;;
190222;0000;25;;;
190223;0000;11;;;
190224;0000;24;;;
190225;0000;30;;;
190226;0000;20;;;
190227;0000;18;;;
190228;0000;25;;;
190301;0000;17;;;
190302;0000;;;;
190303;0000;18;;;
190304;0000;16;;;
190305;0000;21;;;
190306;0000;23;;;
190307;0000;25;;;
190308;0000;16;;;
190309;0000;17;;;
190310;0000;20;;;
190311;0000;11;;;
190312;0000;20;;;
190313;0000;26;;;
190314;0000;23;;;
190315;0000;27;;;
190316;0000;17;;;
190317;0000;12;;;
190318;0000;22;;;
190319;0000;44;;;
190320;0000;23;;;
190321;0000;25;;;
190322;0000;16;;;
190323;0000;15;;;
190324;0000;16;;;
190325;0000;46;;;
190326;0000;58;;;
190327;0000;38;;;
190328;0000;27;;;
190329;0000;17;;;
190330;0000;28;;;
190331;0000;13;;;
190401;0000;17;;;
190402;0000;11;;;
190403;0000;15;;;
190404;0000;14;;;
190405;0000;14;;;
190406;0000;17;;;
190407;0000;24;;;
190408;0000;17;;;
190409;0000;26;;;
190410;0000;18;;;
190411;0000;13;;;
190412;0000;26;;;
190413;0000;26;;;
190414;0000;20;;;
190415;0000;16;;;
190416;0000;44;;;
190417;0000;26;;;
190418;0000;27;;;
190419;0000;31;;;
190420;0000;17;;;
190421;0000;49;;;
190422;0000;47;;;
190423;0000;90;;;
190424;0000;191;;;
190425;0000;204;;;
190426;0000;72;;;
190427;0000;64;;;
190428;0000;29;;;
190429;0000;25;;;
190430;0000;29;;;
190501;0000;54;;;
190502;0000;46;;;
190503;0000;101;;;
190504;0000;63;;;
190505;0000;24;;;
190506;0000;44;;;
190507;0000;65;;;
190508;0000;132;;;
190509;0000;51;;;
190510;0000;30;;;
190511;0000;15;;;
190512;0000;23;;;
190513;0000;57;;;
190514;0000;81;;;
190515;0000;;;55;
190516;0000;;;;
190517;0000;;15;;
190518;0000;;9;;
190519;0000;;12;;
190520;0000;;11;;
190521;0000;;7;;
190522;0000;;8;;
190523;0000;;;7;
190524;0000;;;;
190525;0000;38;;;
190526;0000;54;;;
190527;0000;96;;;
190528;0000;140;;;
190529;0000;135;;;
190530;0000;98;;;
190531;0000;126;;;
190601;0000;159;;;
190602;0000;102;;;
190603;0000;151;;;
190604;0000;113;;;
190605;0000;87;;;
190606;0000;38;;;
190607;0000;26;;;
190608;0000;63;;;
190609;0000;48;;;
190610;0000;56;;;
190611;0000;61;;;
190612;0000;123;;;
190613;0000;71;;;
190614;0000;82;;;
190615;0000;82;;;
190616;0000;80;;;
190617;0000;109;;;
190618;0000;88;;;
190619;0000;72;;;
190620;0000;164;;;
190621;0000;83;;;
190622;0000;47;;;
190623;0000;53;;;
190624;0000;43;;;
190625;0000;42;;;
190626;0000;54;;;
190627;0000;132;;;
190628;0000;138;;;
190629;0000;91;;;
190630;0000;75;;;
190701;0000;55;;;
190702;0000;81;;;
190703;0000;111;;;
190704;0000;182;;;
190705;0000;33;;;
190706;0000;138;;;
190707;0000;259;;;
190708;0000;164;;;
190709;0000;216;;;
190710;0000;142;;;
190711;0000;199;;;
190712;0000;214;;;
190713;0000;175;;;
190714;0000;95;;;
190715;0000;53;;;
190716;0000;106;;;
190717;0000;108;;;
190718;0000;54;;;
190719;0000;49;;;
190720;0000;79;;;
190721;0000;64;;;
190722;0000;44;;;
190723;0000;47;;;
190724;0000;43;;;
190725;0000;85;;;
190726;0000;35;;;
190727;0000;70;;;
190728;0000;126;;;
190729;0000;156;;;
190730;0000;66;;;
190731;0000;69;;;
190801;0000;45;;;
190802;0000;31;;;
190803;0000;24;;;
190804;0000;38;;;
190805;0000;82;;;
190806;0000;27;;;
190807;0000;62;;;
190808;0000;62;;;
190809;0000;24;;;
190810;0000;80;;;
190811;0000;44;;;
190812;0000;51;;;
190813;0000;118;;;
190814;0000;102;;;
190815;0000;78;;;
190816;0000;78;;;
190817;0000;51;;;
190818;0000;118;;;
190819;0000;158;;;
190820;0000;29;;;
190821;0000;45;;;
190822;0000;94;;;
190823;0000;92;;;
190824;0000;66;;;
190825;0000;74;;;
190826;0000;34;;;
190827;0000;77;;;
190828;0000;44;;;
190829;0000;30;;;
190830;0000;28;;;
190831;0000;61;;;
190901;0000;46;;;
190902;0000;75;;;
190903;0000;39;;;
190904;0000;46;;;
190905;0000;60;;;
190906;0000;128;;;
190907;0000;76;;;
190908;0000;36;;;
190909;0000;103;;;
190910;0000;99;;;
190911;0000;29;;;
190912;0000;35;;;
190913;0000;53;;;
190914;0000;26;;;
190915;0000;30;;;
190916;0000;15;;;
190917;0000;14;;;
190918;0000;27;;;
190919;0000;17;;;
190920;0000;19;;;
190921;0000;23;;;
190922;0000;22;;;
190923;0000;14;;;
190924;0000;14;;;
190925;0000;23;;;
190926;0000;79;;;
190927;0000;56;;;
190928;0000;23;;;
190929;0000;21;;;
190930;0000;27;;;
191001;0000;36;;;
191002;0000;50;;;
191003;0000;32;;;
191004;0000;18;;;
191005;0000;23;;;
191006;0000;27;;;
191007;0000;16;;;
191008;0000;15;;;
191009;0000;15;;;
191010;0000;38;;;
191011;0000;26;;;
191012;0000;17;;;
191013;0000;20;;;
191014;0000;33;;;
191015;0000;24;;;
191016;0000;27;;;
191017;0000;13;;;
191018;0000;16;;;
191019;0000;14;;;
191020;0000;18;;;
191021;0000;26;;;
191022;0000;24;;;
191023;0000;30;;;
191024;0000;20;;;
191025;0000;17;;;
191026;0000;13;;;
191027;0000;28;;;
191028;0000;46;;;
191029;0000;19;;;
191030;0000;20;;;
191031;0000;23;;;
191101;0000;15;;;
191102;0000;8;;;
191103;0000;13;;;
191104;0000;15;;;
191105;0000;10;;;
191106;0000;14;;;
191107;0000;15;;;
191108;0000;19;;;
191109;0000;12;;;
191110;0000;11;;;
191111;0000;13;;;
191112;0000;7;;;
191113;0000;8;;;
191114;0000;11;;;
191115;0000;11;;;
191116;0000;14;;;
191117;0000;16;;;
191118;0000;11;;;
191119;0000;16;;;
191120;0000;17;;;
191121;0000;15;;;
191122;0000;23;;;
191123;0000;24;;;
191124;0000;9;;;
191125;0000;16;;;
191126;0000;15;;;
191127;0000;13;;;
191128;0000;14;;;
191129;0000;13;;;
191130;0000;17;;;
191201;0000;15;;;
191202;0000;13;;;
191203;0000;14;;;
191204;0000;10;;;
191205;0000;12;;;
191206;0000;16;;;
191207;0000;9;;;
191208;0000;6;;;
191209;0000;7;;;
191210;0000;14;;;
191211;0000;13;;;
191212;0000;12;;;
191213;0000;10;;;
191214;0000;10;;;
191215;0000;9;;;
191216;0000;11;;;
191217;0000;12;;;
191218;0000;14;;;
191219;0000;13;;;
191220;0000;12;;;
191221;0000;9;;;
191222;0000;16;;;
191223;0000;13;;;
191224;0000;15;;;
191225;0000;9;;;
191226;0000;15;;;
191227;0000;8;;;
191228;0000;15;;;
191229;0000;13;;;
191230;0000;9;;;
191231;0000;21;;;
200101;0000;14;;;
200102;0000;6;;;
200103;0000;5;;;
200104;0000;7;;;
200105;0000;8;;;
200106;0000;10;;;
200107;0000;14;;;
200108;0000;16;;;
200109;0000;14;;;
200110;0000;10;;;
200111;0000;8;;;
200112;0000;5;;;
200113;0000;7;;;
200114;0000;11;;;
200115;0000;9;;;
200116;0000;9;;;
200117;0000;6;;;
200118;0000;7;;;
200119;0000;5;;;
200120;0000;5;;;
200121;0000;;;4;
200122;0000;;;;
200123;0000;;;;
200124;0000;;;7;
200125;0000;5;;;
200126;0000;6;;;
200127;0000;7;;;
200128;0000;10;;;
200129;0000;10;;;
200130;0000;5;;;
200131;0000;5;;;
200201;0000;10;;;
200202;0000;10;;;
200203;0000;13;;;
200204;0000;15;;;
200205;0000;23;;;
200206;0000;28;;;
200207;0000;27;;;
200208;0000;22;;;
200209;0000;13;;;
200210;0000;7;;;
200211;0000;6;;;
200212;0000;7;;;
200213;0000;9;;;
200214;0000;9;;;
200215;0000;11;;;
200216;0000;9;;;
200217;0000;11;;;
200218;0000;12;;;
200219;0000;12;;;
200220;0000;16;;;
200221;0000;26;;;
200222;0000;17;;;
200223;0000;5;;;
200224;0000;8;;;
200225;0000;9;;;
200226;0000;10;;;
200227;0000;7;;;
200228;0000;10;;;
200229;0000;7;;;
200301;0000;4;;;
200302;0000;5;;;
200303;0000;13;;;
200304;0000;9;;;
200305;0000;12;;;
200306;0000;11;;;
200307;0000;9;;;
200308;0000;9;;;
200309;0000;21;;;
200310;0000;;;;
200311;0000;10;;;
200312;0000;32;;;
200313;0000;16;;;
200314;0000;12;;;
200315;0000;12;;;
200316;0000;11;;;
200317;0000;18;;;
200318;0000;9;;;
200319;0000;12;;;
200320;0000;10;;;
200321;0000;16;;;
200322;0000;18;;;
200323;0000;14;;;
200324;0000;19;;;
200325;0000;23;;;
200326;0000;13;;;
200327;0000;14;;;
200328;0000;27;;;
200329;0000;36;;;
200330;0000;50;;;
200331;0000;28;;;
200401;0000;27;;;
200402;0000;31;;;
200403;0000;17;;;
200404;0000;12;;;
200405;0000;31;;;
200406;0000;38;;;
200407;0000;47;;;
200408;0000;78;;;
200409;0000;31;;;
200410;0000;23;;;
200411;0000;17;;;
200412;0000;25;;;
200413;0000;41;;;
200414;0000;40;;;
200415;0000;53;;;
200416;0000;36;;;
200417;0000;31;;;
200418;0000;44;;;
200419;0000;26;;;
200420;0000;40;;;
200421;0000;58;;;
200422;0000;149;;;
200423;0000;92;;;
200424;0000;61;;;
200425;0000;46;;;
200426;0000;83;;;
200427;0000;86;;;
200428;0000;74;;;
200429;0000;43;;;
200430;0000;62;;;
200501;0000;105;;;
200502;0000;97;;;
200503;0000;87;;;
200504;0000;94;;;
200505;0000;81;;;
200506;0000;44;;;
200507;0000;40;;;
200508;0000;75;;;
200509;0000;38;;;
200510;0000;45;;;
200511;0000;21;;;
200512;0000;88;;;
200513;0000;60;;;
200514;0000;62;;;
200515;0000;35;;;
200516;0000;34;;;
200517;0000;58;;;
200518;0000;32;;;
200519;0000;136;;;
200520;0000;119;;;
200521;0000;125;;;
200522;0000;68;;;
200523;0000;58;;;
200524;0000;44;;;
200525;0000;82;;;
200526;0000;55;;;
200527;0000;44;;;
200528;0000;105;;;
200529;0000;81;;;
200530;0000;55;;;
200531;0000;81;;;
200601;0000;43;;;
200602;0000;63;;;
200603;0000;44;;;
200604;0000;27;;;
200605;0000;77;;;
200606;0000;65;;;
200607;0000;55;;;
200608;0000;30;;;
200609;0000;36;;;
200610;0000;41;;;
200611;0000;74;;;
200612;0000;85;;;
200613;0000;96;;;
200614;0000;166;;;
200615;0000;275;;;
200616;0000;232;;;
200617;0000;151;;;
200618;0000;79;;;
200619;0000;38;;;
200620;0000;58;;;
200621;0000;71;;;
200622;0000;97;;;
200623;0000;182;;;
200624;0000;110;;;
200625;0000;89;;;
200626;0000;56;;;
200627;0000;35;;;
200628;0000;27;;;
200629;0000;59;;;
200630;0000;109;;;
200701;0000;95;;;
200702;0000;153;;;
200703;0000;159;;;
200704;0000;143;;;
200705;0000;110;;;
200706;0000;237;;;
200707;0000;175;;;
200708;0000;56;;;
200709;0000;94;;;
200710;0000;54;;;
200711;0000;64;;;
200712;0000;59;;;
200713;0000;63;;;
200714;0000;118;;;
200715;0000;107;;;
200716;0000;102;;;
200717;0000;212;;;
200718;0000;168;;;
200719;0000;200;;;
200720;0000;94;;;
200721;0000;31;;;
200722;0000;48;;;
200723;0000;114;;;
200724;0000;55;;;
200725;0000;110;;;
200726;0000;71;;;
200727;0000;84;;;
200728;0000;68;;;
200729;0000;89;;;
200730;0000;179;;;
200731;0000;183;;;
200801;0000;68;;;
200802;0000;87;;;
200803;0000;53;;;
200804;0000;75;;;
200805;0000;100;;;
200806;0000;46;;;
200807;0000;76;;;
200808;0000;70;;;
200809;0000;61;;;
200810;0000;31;;;
200811;0000;25;;;
200812;0000;19;;;
200813;0000;37;;;
200814;0000;37;;;
200815;0000;17;;;
200816;0000;18;;;
200817;0000;27;;;
200818;0000;85;;;
200819;0000;46;;;
200820;0000;20;;;
200821;0000;23;;;
200822;0000;22;;;
200823;0000;28;;;
200824;0000;48;;;
200825;0000;57;;;
200826;0000;45;;;
200827;0000;33;;;
200828;0000;33;;;
200829;0000;18;;;
200830;0000;27;;;
200831;0000;98;;;
200901;0000;129;;;
200902;0000;59;;;
200903;0000;26;;;
200904;0000;42;;;
200905;0000;45;;;
200906;0000;60;;;
200907;0000;69;;;
200908;0000;30;;;
200909;0000;38;;;
200910;0000;31;;;
200911;0000;24;;;
200912;0000;27;;;
200913;0000;20;;;
200914;0000;12;;;
200915;0000;37;;;
200916;0000;34;;;
200917;0000;17;;;
200918;0000;23;;;
200919;0000;29;;;
200920;0000;75;;;
200921;0000;36;;;
200922;0000;18;;;
200923;0000;23;;;
200924;0000;16;;;
200925;0000;15;;;
200926;0000;17;;;
200927;0000;15;;;
200928;0000;16;;;
200929;0000;26;;;
200930;0000;14;;;
201001;0000;28;;;
201002;0000;38;;;
201003;0000;52;;;
201004;0000;18;;;
201005;0000;14;;;
201006;0000;18;;;
201007;0000;13;;;
201008;0000;14;;;
201009;0000;14;;;
201010;0000;13;;;
201011;0000;15;;;
201012;0000;10;;;
201013;0000;12;;;
201014;0000;19;;;
201015;0000;17;;;
201016;0000;13;;;
201017;0000;13;;;
201018;0000;14;;;
201019;0000;19;;;
201020;0000;23;;;
201021;0000;22;;;
201022;0000;37;;;
201023;0000;26;;;
201024;0000;15;;;
201025;0000;11;;;
201026;0000;13;;;
201027;0000;17;;;
201028;0000;19;;;
201029;0000;17;;;
201030;0000;10;;;
201031;0000;16;;;
201101;0000;10;;;
201102;0000;14;;;
201103;0000;8;;;
201104;0000;11;;;
201105;0000;11;;;
201106;0000;10;;;
201107;0000;10;;;
201108;0000;8;;;
201109;0000;8;;;
201110;0000;9;;;
201111;0000;9;;;
201112;0000;8;;;
201113;0000;8;;;
201114;0000;8;;;
201115;0000;10;;;
201116;0000;7;;;
201117;0000;7;;;
201118;0000;9;;;
201119;0000;8;;;
201120;0000;7;;;
201121;0000;11;;;
201122;0000;10;;;
201123;0000;12;;;
201124;0000;11;;;
201125;0000;13;;;
201126;0000;11;;;
201127;0000;12;;;
201128;0000;12;;;
201129;0000;9;;;
201130;0000;8;;;
201201;0000;8;;;
201202;0000;9;;;
201203;0000;13;;;
201204;0000;9;;;
201205;0000;7;;;
201206;0000;4;;;
201207;0000;5;;;
201208;0000;7;;;
201209;0000;9;;;
201210;0000;9;;;
201211;0000;10;;;
201212;0000;10;;;
201213;0000;12;;;
201214;0000;11;;;
201215;0000;11;;;
201216;0000;10;;;
201217;0000;7;;;
201218;0000;8;;;
201219;0000;9;;;
201220;0000;5;;;
201221;0000;10;;;
201222;0000;10;;;
201223;0000;9;;;
201224;0000;12;;;
201225;0000;12;;;
201226;0000;5;;;
201227;0000;4;;;
201228;0000;7;;;
201229;0000;13;;;
201230;0000;9;;;
201231;0000;14;;;
210101;0000;9;;;
210102;0000;9;;;
210103;0000;9;;;
210104;0000;9;;;
210105;0000;6;;;
210106;0000;6;;;
210107;0000;8;;;
210108;0000;6;;;
210109;0000;12;;;
210110;0000;16;;;
210111;0000;11;;;
210112;0000;11;;;
210113;0000;10;;;
210114;0000;8;;;
210115;0000;14;;;
210116;0000;9;;;
210117;0000;5;;;
210118;0000;8;;;
210119;0000;4;;;
210120;0000;6;;;
210121;0000;5;;;
210122;0000;;;5;
210123;0000;;;5;
210124;0000;;;5;
210125;0000;;;6;
210126;0000;9;;;
210127;0000;11;;;
210128;0000;10;;;
210129;0000;9;;;
210130;0000;18;;;
210131;0000;9;;;
210201;0000;4;;;
210202;0000;5;;;
210203;0000;6;;;
210204;0000;6;;;
210205;0000;6;;;
210206;0000;14;;;
210207;0000;9;;;
210208;0000;8;;;
210209;0000;8;;;
210210;0000;9;;;
210211;0000;6;;;
210212;0000;8;;;
210213;0000;5;;;
210214;0000;7;;;
210215;0000;9;;;
210216;0000;4;;;
210217;0000;6;;;
210218;0000;10;;;
210219;0000;11;;;
210220;0000;7;;;
210221;0000;9;;;
210222;0000;8;;;
210223;0000;6;;;
210224;0000;5;;;
210225;0000;4;;;
210226;0000;7;;;
210227;0000;6;;;
210228;0000;8;;;
210301;0000;5;;;
210302;0000;11;;;
210303;0000;11;;;
210304;0000;11;;;
210305;0000;7;;;
210306;0000;4;;;
210307;0000;10;;;
210308;0000;13;;;
210309;0000;22;;;
210310;0000;16;;;
210311;0000;11;;;
210312;0000;9;;;
210313;0000;10;;;
210314;0000;20;;;
210315;0000;9;;;
210316;0000;20;;;
210317;0000;50;;;
210318;0000;29;;;
210319;0000;12;;;
210320;0000;11;;;
210321;0000;12;;;
210322;0000;11;;;
210323;0000;12;;;
210324;0000;19;;;
210325;0000;21;;;
210326;0000;14;;;
210327;0000;11;;;
210328;0000;12;;;
210329;0000;15;;;
210330;0000;7;;;
210331;0000;15;;;
210401;0000;23;;;
210402;0000;18;;;
210403;0000;13;;;
210404;0000;21;;;
210405;0000;16;;;
210406;0000;17;;;
210407;0000;21;;;
210408;0000;23;;;
210409;0000;43;;;
210410;0000;24;;;
210411;0000;18;;;
210412;0000;17;;;
210413;0000;21;;;
210414;0000;13;;;
210415;0000;10;;;
210416;0000;15;;;
210417;0000;48;;;
210418;0000;53;;;
210419;0000;31;;;
210420;0000;42;;;
210421;0000;44;;;
210422;0000;58;;;
210423;0000;36;;;
210424;0000;50;;;
210425;0000;28;;;
210426;0000;22;;;
210427;0000;25;;;
210428;0000;25;;;
210429;0000;36;;;
210430;0000;42;;;
210501;0000;47;;;
210502;0000;18;;;
210503;0000;48;;;
210504;0000;59;;;
210505;0000;137;;;
210506;0000;278;;;
210507;0000;242;;;
210508;0000;42;;;
210509;0000;36;;;
210510;0000;80;;;
210511;0000;60;;;
210512;0000;25;;;
210513;0000;57;;;
210514;0000;116;;;
210515;0000;77;;;
210516;0000;129;;;
210517;0000;127;;;
210518;0000;238;;;
210519;0000;182;;;
210520;0000;128;;;
210521;0000;110;;;
210522;0000;51;;;
210523;0000;42;;;
210524;0000;22;;;
210525;0000;;;;
210526;0000;47;;;
210527;0000;55;;;
210528;0000;51;;;
210529;0000;35;;;
210530;0000;60;;;
210531;0000;40;;;
210601;0000;26;;;
210602;0000;51;;;
210603;0000;41;;;
210604;0000;30;;;
210605;0000;28;;;
210606;0000;38;;;
210607;0000;96;;;
210608;0000;55;;;
